Id	Año	Provincia	Red vecinal pavimentada	Red vecinal existente	Porcentaje de la red vial vecinal por implementar
1	2010	Huancayo	44.22	814.1	94.56823486
2	2011	Huancayo	49.4	814.1	93.93194939
3	2012	Huancayo	55.22	814.1	93.2170495
4	2013	Huancayo	61.57	814.9	92.44447171
5	2014	Huancayo	68.59	814.9	91.58301632
6	2015	Huancayo	76.33	814.9	90.63320653
7	2016	Huancayo	85.85	815.6	89.47400687
8	2017	Huancayo	97.23	815.6	88.07871506
9	2018	Huancayo	110.53	815.6	86.44801373
10	2019	Huancayo	120.3	815.9	85.25554602
11	2020	Huancayo	126.3	816.72	84.53570379
12	2021	Huancayo	136.3	816.72	83.31129396
13	2022	Huancayo	140.01	816.72	82.85703791
